NR_SEQUENCIA;DT_ATUALIZACAO;NM_USUARIO;DT_ATUALIZACAO_NREC;NM_USUARIO_NREC;CD_ESTABELECIMENTO;CD_BEM;DS_BEM;DT_AQUISICAO;DT_INICIO_USO;NR_SEQ_TIPO;NR_SEQ_LOCAL;IE_IMOBILIZADO;IE_SITUACAO;CD_CENTRO_CUSTO;CD_CONTA_CONTABIL;IE_TIPO_VALOR;TX_DEPREC;TX_FISCAL;CD_CGC;NR_NOTA_FISCAL;NR_SEQ_ADICAO;DS_SERIE;CD_PESSOA_FISICA;CD_BEM_SUPERIOR;VL_ORIGINAL;NR_SEQ_MARCA;CD_MOEDA;IE_SUBVENCAO;DT_GARANTIA;DS_OBSERVACAO;NR_SEQ_CRIT_RATEIO;CD_BEM_EXTERNO;VL_RESIDUAL;IE_PROPRIEDADE;VL_MERCADO;NR_SEQ_REGRA_CONTA;QT_TEMPO_VIDA_UTIL;DT_VALOR;VL_BASE_DEPREC;VL_CONTABIL;VL_DEPREC_ACUM;VL_DEPREC_MES;NR_APOLICE;DT_INICIO;DT_FIM;NR_SEQ_CONTRATO;CD_EMPRESA_SEGURO;DS_DESCRICAO
1;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6750;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
2;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;835;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
3;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2613;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
4;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2616;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;641;S;A;1038;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
5;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;829;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;174;S;A;1028;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
6;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;832;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
7;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;26171;POLTRONA COM RODIZIOS COM BRACOS EM CONHA;10/09/2010;10/09/2010;152;645;S;A;1017;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
8;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2624;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: PRETO. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
9;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2620;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;174;S;A;1028;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
10;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;831;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
